entidad,State,Total2010,Male2010,Female2010,Total2020,Male2020,Female2020
0,Estados Unidos Mexicanos,1096512,422143,674369,865972,318444,547528
1,Aguascalientes,5,3,2,25,12,13
2,Baja California,1558,523,1035,1324,423,901
3,Baja California Sur,143,56,87,162,53,109
4,Campeche,3037,1061,1976,2479,843,1636
5,Coahuila de Zaragoza,57,26,31,40,23,17
6,Colima,189,82,107,189,75,114
7,Chiapas,421358,163415,257943,397179,151737,245442
8,Chihuahua,13566,4738,8828,11818,4248,7570
9,Ciudad de México,700,207,493,1032,358,674
10,Durango,5949,2314,3635,8515,3471,5044
11,Guanajuato,114,63,51,231,100,131
12,Guerrero,150891,62922,87969,111372,43457,67915
13,Hidalgo,47203,17655,29548,28497,9404,19093
14,Jalisco,5412,1991,3421,6673,2572,4101
15,México,3052,688,2364,5422,1719,3703
16,Michoacán de Ocampo,11251,4407,6844,8878,3368,5510
17,Morelos,534,175,359,912,308,604
18,Nayarit,9017,3617,5400,11473,4758,6715
19,Nuevo León,107,32,75,325,107,218
20,Oaxaca,207277,79227,128050,134111,46302,87809
21,Puebla,63294,22067,41227,40879,12741,28138
22,Querétaro,1059,208,851,594,151,443
23,Quintana Roo,9546,3598,5948,7307,2616,4691
24,San Luis Potosí,21870,8312,13558,9996,3435,6561
25,Sinaloa,112,40,72,1004,430,574
26,Sonora,1419,585,834,1104,499,605
27,Tabasco,607,221,386,960,329,631
28,Tamaulipas,65,18,47,145,50,95
29,Tlaxcala,277,79,198,440,138,302
30,Veracruz de Ignacio de la Llave,73600,26102,47498,48059,15456,32603
31,Yucatán,43010,17619,25391,24640,9188,15452
32,Zacatecas,233,92,141,187,73,114
